Pedestrians,weather_summary,temperature,precipitation,events,hour_begin,has_event
1439,partly-cloudy-day,40.0,2.0E-4,Presidents' Day (regional holiday),2019-02-18T16:00:00.000-05:00,1
3514,clear-day,64.0,0.0,"",2019-04-06T15:00:00.000-04:00,0
0,clear-night,51.0,0.0,"",2019-04-07T02:00:00.000-04:00,0
71,clear-night,48.0,0.0,"",2019-11-25T17:00:00.000-05:00,0
1642,partly-cloudy-day,83.0,0.0,"",2019-07-10T11:00:00.000-04:00,0
29,cloudy,58.0,0.0,"",2019-05-08T05:00:00.000-04:00,0
139,rain,73.0,0.047,"",2019-06-20T21:00:00.000-04:00,0
1683,cloudy,77.0,0.0,"",2019-07-05T10:00:00.000-04:00,0
686,partly-cloudy-day,74.0,0.0,"",2019-05-20T09:00:00.000-04:00,0
668,partly-cloudy-day,20.0,0.0,"",2019-02-01T16:00:00.000-05:00,0
66,partly-cloudy-night,73.0,0.0,"",2019-06-16T21:00:00.000-04:00,0
0,partly-cloudy-night,69.0,0.0,Labor Day,2019-09-02T01:00:00.000-04:00,1
8,cloudy,77.0,0.0,"",2019-07-06T00:00:00.000-04:00,0
1641,partly-cloudy-day,68.0,0.0,"",2019-04-08T13:00:00.000-04:00,0
0,rain,42.0,0.0308,"",2019-01-05T05:00:00.000-05:00,0
311,cloudy,54.0,0.0,"",2019-04-08T08:00:00.000-04:00,0
665,partly-cloudy-day,56.0,0.0,"",2019-05-06T08:00:00.000-04:00,0
5,cloudy,54.0,0.0,"",2019-03-29T21:00:00.000-04:00,0
11,partly-cloudy-night,86.0,0.0,"",2019-07-21T00:00:00.000-04:00,0
0,partly-cloudy-night,77.0,0.0,"",2019-08-22T01:00:00.000-04:00,0
1189,clear-day,58.0,0.0,"",2019-03-30T19:00:00.000-04:00,0
1694,rain,38.0,0.0347,"",2019-03-02T14:00:00.000-05:00,0
0,rain,43.0,0.1058,"",2019-11-24T05:00:00.000-05:00,0
2152,partly-cloudy-day,80.0,0.0,"",2019-07-24T13:00:00.000-04:00,0
1597,clear-day,47.0,0.0,"",2019-03-26T15:00:00.000-04:00,0
5,clear-night,73.0,0.0,"",2019-08-03T00:00:00.000-04:00,0
70,cloudy,47.0,5.0E-4,"",2019-12-06T17:00:00.000-05:00,0
0,clear-night,32.0,0.0,Black Friday,2019-11-29T04:00:00.000-05:00,1
0,partly-cloudy-night,64.0,0.0,"",2019-09-30T02:00:00.000-04:00,0
132,rain,51.0,0.0028,"",2019-11-12T08:00:00.000-05:00,0
1895,partly-cloudy-day,81.0,0.0,"",2019-09-03T16:00:00.000-04:00,0
